"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1181","login invalid","webkit","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","661","login invalid","chromium","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","658","login valid","chromium","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","3557","login invalid","firefox","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","8008","Ouvrir la page de sauce demo","chromium","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","638","cartBtn fonctionne quand le badge est présent pour vérifier","chromium","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","2312","Ouvrir la page de sauce demo","firefox","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","644","cartBtn pour naviguer aprés ajout","chromium","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","1125","Add to cart","firefox","2026-01-21","passed","2026-01-21","","product.spec.ts","",""
"","1414","cartBtn fonctionne quand le badge est présent pour vérifier","webkit","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","12054","login_jdd","firefox","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","1612","Ouvrir la page de sauce demo","webkit","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","1301","login valid","webkit","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","1589","Add to cart","webkit","2026-01-21","passed","2026-01-21","","product.spec.ts","",""
"","1018","cartBtn fonctionne quand le badge est présent pour vérifier","firefox","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","8715","login_jdd","webkit","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","937","login invalid","webkit","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","997","login invalid","chromium","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","1086","cartBtn pour naviguer aprés ajout","firefox","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","1745","login valid","webkit","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","3023","login valid","firefox","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","1947","login valid","firefox","2026-01-21","passed","2026-01-21","","loginpom.spec.ts","",""
"","844","Add to cart","chromium","2026-01-21","passed","2026-01-21","","product.spec.ts","",""
"","1382","cartBtn pour naviguer aprés ajout","webkit","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","3675","login invalid","firefox","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","658","login valid","chromium","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","6490","login_jdd","chromium","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
